temporada;data_jogo;rodada;time_casa;time_fora;gols_casa;gols_fora;placar;resultado
2013;2013-07-14 16:00:00;7;Gremio-RS;Botafogo-RJ;2;1;2-1;Vitória Casa
2013;2013-07-14 16:00:00;7;Corinthians-SP;Atletico-MG;0;1;0-1;Vitória Fora
2013;2013-07-14 16:00:00;7;Coritiba-PR;Atletico-PR;1;0;1-0;Vitória Casa
2013;2013-07-14 18:30:00;7;Criciuma-SC;Goias-GO;0;0;0-0;Empate
2013;2013-07-14 18:30:00;7;Cruzeiro-MG;Nautico-PE;3;0;3-0;Vitória Casa
2013;2013-07-14 18:30:00;7;Vasco da Gama-RJ;Flamengo-RJ;0;1;0-1;Vitória Fora
2013;2013-07-20 18:30:00;8;Botafogo-RJ;Nautico-PE;2;0;2-0;Vitória Casa
2013;2013-07-20 18:30:00;8;Sao Paulo-SP;Cruzeiro-MG;0;3;0-3;Vitória Fora
2013;2013-07-20 18:30:00;8;Criciuma-SC;Gremio-RS;2;1;2-1;Vitória Casa
2013;2013-07-21 16:00:00;8;Vitoria-BA;Bahia-BA;0;0;0-0;Empate
2013;2013-07-21 16:00:00;8;Internacional-RS;Flamengo-RJ;1;0;1-0;Vitória Casa
2013;2013-07-21 16:00:00;8;Atletico-PR;Corinthians-SP;1;1;1-1;Empate
2013;2013-07-21 16:00:00;8;Santos-SP;Coritiba-PR;2;2;2-2;Empate
2013;2013-07-21 18:30:00;8;Fluminense-RJ;Vasco da Gama-RJ;1;3;1-3;Vitória Fora
2013;2013-07-21 18:30:00;8;Goias-GO;Portuguesa-SP;2;1;2-1;Vitória Casa
2013;2013-10-03 19:30:00;8;Atletico-MG;Ponte Preta-SP;4;0;4-0;Vitória Casa
2013;2013-07-27 18:30:00;9;Vasco da Gama-RJ;Criciuma-SC;3;2;3-2;Vitória Casa
2013;2013-07-27 18:30:00;9;Portuguesa-SP;Atletico-PR;2;3;2-3;Vitória Fora
2013;2013-07-27 21:00:00;9;Ponte Preta-SP;Santos-SP;1;0;1-0;Vitória Casa
2013;2013-07-28 16:00:00;9;Gremio-RS;Fluminense-RJ;2;0;2-0;Vitória Casa
2013;2013-07-28 16:00:00;9;Nautico-PE;Internacional-RS;3;0;3-0;Vitória Casa
2013;2013-07-28 16:00:00;9;Corinthians-SP;Sao Paulo-SP;0;0;0-0;Empate
2013;2013-07-28 16:00:00;9;Cruzeiro-MG;Atletico-MG;4;1;4-1;Vitória Casa
2013;2013-07-28 18:30:00;9;Flamengo-RJ;Botafogo-RJ;1;1;1-1;Empate
2013;2013-07-28 18:30:00;9;Coritiba-PR;Vitoria-BA;1;1;1-1;Empate
2013;2013-07-28 18:30:00;9;Bahia-BA;Goias-GO;2;1;2-1;Vitória Casa
2013;2013-07-31 19:30:00;10;Fluminense-RJ;Cruzeiro-MG;1;0;1-0;Vitória Casa
2013;2013-07-31 19:30:00;10;Atletico-MG;Atletico-PR;1;2;1-2;Vitória Fora
2013;2013-07-31 19:30:00;10;Portuguesa-SP;Criciuma-SC;1;1;1-1;Empate
2013;2013-07-31 21:00:00;10;Coritiba-PR;Ponte Preta-SP;5;3;5-3;Vitória Casa
